happiness_classification,norm_imports,norm_exports,fear,anger,surprise,sadness,disgust,joy,anticipation
not-happy,13.643920640752688,11.979343255538332,0.0440097799511002,0.0293398533007334,0.0342298288508557,0.0317848410757946,0.0268948655256723,0.0562347188264058,0.1002444987775061
not-happy,13.469563942374675,15.552569572409388,0.0606060606060606,0.0285204991087344,0.0338680926916221,0.035650623885918,0.0249554367201426,0.0570409982174688,0.1122994652406417
happy,6.874738700040496,7.213293860602913,0.0723809523809523,0.0495238095238095,0.04,0.0380952380952381,0.0342857142857142,0.0971428571428571,0.0914285714285714
not-happy,6.624081008161285,4.183923096633762,0.0598404255319149,0.0438829787234042,0.0199468085106383,0.0412234042553191,0.0319148936170212,0.0704787234042553,0.0930851063829787
happy,12.099429302480088,11.116681317357202,0.0702247191011236,0.0435393258426966,0.0365168539325842,0.0365168539325842,0.0280898876404494,0.0814606741573033,0.1025280898876404
happy,6.463485273230105,9.462452082238023,0.0700325732899022,0.0456026058631921,0.0260586319218241,0.0358306188925081,0.021172638436482,0.0667752442996742,0.1058631921824104
happy,7.743851896795189,8.071707407104117,0.0761421319796954,0.038917089678511,0.0287648054145516,0.0439932318104906,0.0406091370558375,0.0913705583756345,0.1116751269035533
happy,8.691386646767167,8.426336476068503,0.0708661417322834,0.0524934383202099,0.0078740157480314,0.0393700787401574,0.0288713910761154,0.0577427821522309,0.0839895013123359
not-happy,0.650154999553376,0.12684267659804271,0.1025210084033613,0.0705882352941176,0.026890756302521,0.0672268907563025,0.0470588235294117,0.0504201680672268,0.0722689075630252
happy,3.0664139839487397,2.4601455872728653,0.0832049306625577,0.0693374422187981,0.036979969183359,0.0462249614791987,0.0416024653312788,0.0554699537750385,0.0955315870570107
happy,7.616347893340503,5.059995197365559,0.0675944333996023,0.0337972166998011,0.0178926441351888,0.0298210735586481,0.0238568588469184,0.0775347912524851,0.0974155069582504
not-happy,2.3923198091899542,1.639019706477148,0.0609137055837563,0.0456852791878172,0.0253807106598984,0.0439932318104906,0.0203045685279187,0.0642978003384094,0.0862944162436548
not-happy,2.452077931226643,1.3186717549353233,0.0462833099579242,0.032258064516129,0.0294530154277699,0.035063113604488,0.0224403927068723,0.0799438990182328,0.1107994389901823
not-happy,0.9763685596175952,0.400044892080515,0.0683333333333333,0.055,0.0183333333333333,0.0366666666666666,0.0233333333333333,0.0733333333333333,0.0866666666666666
happy,2.4558239500318764,2.8810182453675135,0.0986460348162475,0.0735009671179884,0.0193423597678916,0.0502901353965183,0.0444874274661508,0.0541586073500967,0.0773694390715667
not-happy,5.381552445987779,4.736618236016375,0.0644067796610169,0.0406779661016949,0.0288135593220339,0.0322033898305084,0.0254237288135593,0.0661016949152542,0.1016949152542373
not-happy,2.720176327310677,2.5726007295325326,0.0854368932038835,0.062135922330097,0.0233009708737864,0.0485436893203883,0.0427184466019417,0.0485436893203883,0.0854368932038835
not-happy,1.6666664594840368,0.5346114751276129,0.0785714285714285,0.0571428571428571,0.0238095238095238,0.0428571428571428,0.0309523809523809,0.0452380952380952,0.0952380952380952
happy,1.4652260906873402,1.6504840018673586,0.0780669144981412,0.070631970260223,0.0130111524163568,0.0427509293680297,0.037174721189591,0.0520446096654275,0.087360594795539
happy,17.678039357497425,22.232160706301876,0.061128526645768,0.0235109717868338,0.0235109717868338,0.0344827586206896,0.0203761755485893,0.0705329153605015,0.115987460815047
happy,2.700984774811656,2.6920505566668442,0.074656188605108,0.0589390962671905,0.0275049115913556,0.0510805500982318,0.0294695481335952,0.0667976424361493,0.0825147347740668
not-happy,1.3359799046138126,0.8968643015173007,0.0952986022871664,0.0698856416772554,0.0317662007623888,0.0520965692503176,0.0330368487928843,0.0864040660736975,0.0864040660736975
not-happy,9.857915040411278,8.988080085265551,0.0509259259259259,0.0393518518518518,0.0300925925925925,0.0555555555555555,0.0277777777777777,0.0787037037037037,0.099537037037037
happy,0.7760993759960225,0.5514767095409137,0.1050531914893617,0.0731382978723404,0.0319148936170212,0.0545212765957446,0.0372340425531914,0.0837765957446808,0.0970744680851063
happy,1.237033669551837,1.2998048880791815,0.0665280665280665,0.0436590436590436,0.027027027027027,0.0602910602910602,0.0249480249480249,0.0893970893970894,0.0997920997920998
happy,51.44500560805908,35.11166408716058,0.0641025641025641,0.0512820512820512,0.0299145299145299,0.0598290598290598,0.0441595441595441,0.0512820512820512,0.0612535612535612
happy,1.651592502152186,2.2508659453776185,0.0882740447957839,0.0658761528326745,0.0197628458498023,0.0553359683794466,0.0461133069828722,0.0764163372859025,0.0764163372859025
happy,1.0227018754271173,1.9430592412035823,0.0662460567823343,0.0410094637223974,0.0504731861198738,0.0441640378548895,0.0094637223974763,0.0883280757097791,0.1104100946372239
not-happy,2.2148109094430377,0.7162840575232737,0.0521978021978022,0.0192307692307692,0.0549450549450549,0.0137362637362637,0.0109890109890109,0.1098901098901098,0.1236263736263736
not-happy,8.850246215153042,14.608694337070242,0.0907441016333938,0.0707803992740471,0.0181488203266787,0.0617059891107078,0.0308529945553539,0.0671506352087114,0.0816696914700544
not-happy,0.47953352742462274,0.16874361188171116,0.05859375,0.029296875,0.029296875,0.033203125,0.0234375,0.0859375,0.12109375
happy,1.6905638577623172,1.4927738047109378,0.075,0.0607142857142857,0.0321428571428571,0.0625,0.0553571428571428,0.0625,0.0839285714285714
not-happy,2.1961857451438584,0.893152704926085,0.0535331905781584,0.038543897216274,0.0449678800856531,0.0364025695931477,0.0149892933618843,0.0963597430406852,0.1199143468950749
happy,12.789727967186575,11.697260694954661,0.0811518324607329,0.0759162303664921,0.0209424083769633,0.0392670157068062,0.0392670157068062,0.0994764397905759,0.0994764397905759
happy,1.2163649543783897,0.60038024654637,0.0618556701030927,0.0549828178694158,0.0240549828178694,0.0240549828178694,0.0171821305841924,0.0618556701030927,0.0962199312714776
happy,0.39914368272694734,0.2785901464425449,0.08,0.0484210526315789,0.031578947368421,0.0463157894736842,0.0378947368421052,0.0821052631578947,0.0778947368421052
not-happy,1.220103806336116,1.4634037187658782,0.0747330960854092,0.0498220640569395,0.0213523131672597,0.0640569395017793,0.0480427046263345,0.0711743772241993,0.0889679715302491
happy,10.25181406526672,10.248422082940792,0.0506756756756756,0.0354729729729729,0.0202702702702702,0.0253378378378378,0.0101351351351351,0.0726351351351351,0.0996621621621621
not-happy,0.525736687502128,0.3671082216915887,0.0655462184873949,0.0672268907563025,0.0235294117647058,0.0436974789915966,0.0336134453781512,0.0823529411764705,0.0873949579831932
not-happy,3.667650014901508,3.109311720425375,0.0804749340369393,0.0540897097625329,0.0290237467018469,0.0580474934036939,0.0343007915567282,0.0659630606860158,0.0857519788918205
not-happy,0.8947585709891592,1.4448378350370723,0.0426716141001855,0.0445269016697588,0.0482374768089053,0.0278293135435992,0.0222634508348794,0.0946196660482374,0.111317254174397
happy,0.21931502490278373,0.6224413851857692,0.0879712746858168,0.0502692998204667,0.0179533213644524,0.0466786355475763,0.0287253141831238,0.0879712746858168,0.104129263913824
not-happy,0.7977292441042613,0.205878196991137,0.0871369294605809,0.0456431535269709,0.0331950207468879,0.0387275242047026,0.0248962655601659,0.0733056708160442,0.0885200553250345
happy,1.7088145775574746,0.8623794767930576,0.0561224489795918,0.0391156462585034,0.0136054421768707,0.0306122448979591,0.0187074829931972,0.0714285714285714,0.1071428571428571
happy,5.8528368255004155,4.104545970413024,0.0791245791245791,0.0673400673400673,0.0303030303030303,0.0757575757575757,0.0538720538720538,0.074074074074074,0.0791245791245791
happy,0.22232566255218988,0.5119871182371886,0.0799536500579374,0.0579374275782155,0.0289687137891077,0.0382387022016222,0.033603707995365,0.0706836616454229,0.0869061413673232
not-happy,2.045567128302054,0.9889066004235901,0.0995762711864406,0.0296610169491525,0.0317796610169491,0.0572033898305084,0.0233050847457627,0.059322033898305,0.1461864406779661
not-happy,1.2879153178736908,1.5429477998142047,0.0879629629629629,0.0763888888888889,0.0208333333333333,0.0648148148148148,0.0439814814814814,0.0717592592592592,0.0856481481481481
happy,1.5134983328771727,1.4720081782088306,0.1125730994152046,0.0891812865497076,0.0248538011695906,0.0804093567251462,0.0292397660818713,0.0730994152046783,0.1008771929824561
happy,1.2093049443028028,0.4492179051952889,0.0892448512585812,0.0640732265446224,0.0297482837528604,0.0526315789473684,0.045766590389016,0.0869565217391304,0.0983981693363844
happy,3.3749204859379054,3.844982925863719,0.072356215213358,0.0500927643784786,0.0426716141001855,0.0556586270871985,0.0296846011131725,0.0760667903525046,0.0760667903525046
happy,1.0610786261719969,0.5131319911932375,0.0583254938852304,0.0460959548447789,0.0338664158043273,0.0357478833490122,0.0253998118532455,0.1015992474129821,0.1091251175917215
happy,2.3818168844107848,2.2192510062842894,0.1102362204724409,0.09251968503937,0.0216535433070866,0.0570866141732283,0.0551181102362204,0.0728346456692913,0.0748031496062992
not-happy,2.047534474977188,2.99098407195504,0.0903361344537815,0.0693277310924369,0.01890756302521,0.0378151260504201,0.0294117647058823,0.0567226890756302,0.0861344537815126
happy,0.6969120806881319,0.593242541679231,0.073126142595978,0.0438756855575868,0.0201096892138939,0.0292504570383912,0.0292504570383912,0.0749542961608775,0.109689213893967
not-happy,0.44272749350718976,0.16600776678499274,0.0509915014164305,0.0283286118980169,0.0226628895184136,0.0509915014164305,0.0141643059490084,0.0991501416430594,0.1246458923512747
not-happy,0.6548108160693944,0.15538499111654608,0.1004070556309362,0.0814111261872456,0.0325644504748982,0.0651289009497964,0.0488466757123473,0.0624151967435549,0.0949796472184531
not-happy,0.4727073792807578,0.2512866318504063,0.0789473684210526,0.0402476780185758,0.0247678018575851,0.0526315789473684,0.0309597523219814,0.0851393188854489,0.088235294117647
happy,0.5529407556031034,0.19259239121373073,0.0507343124165554,0.0387182910547396,0.0267022696929239,0.041388518024032,0.0307076101468624,0.0680907877169559,0.0934579439252336
not-happy,7.165260484005544,14.14114899311183,0.0620272314674735,0.0317700453857791,0.0287443267776096,0.0272314674735249,0.0226928895612708,0.086232980332829,0.1180030257186081
